SiteNo,Latitude,Longtitude,Date,Water.status
N5_24,-27.76625,153.121913,31/05/2018,0
N5_25,-27.785042,153.135,31/05/2018,0.6
N5_26,-27.9315,152.950972,31/05/2018,1
N5_27,-27.938471,152.973404,31/05/2018,1
N5_28,-27.991827,152.994444,31/05/2018,1
N5_29,-28.019523,153.009444,31/05/2018,1
N5_30,-27.98625,152.97044,31/05/2018,1
N5_31,-28.001667,152.924167,31/05/2018,1
N5_32,-27.864665,152.480648,31/05/2018,0
N5_33,-27.858611,152.47859,31/05/2018,0
N5_34,-27.848815,152.492934,31/05/2018,1
N5_35,-27.671175,152.316258,31/05/2018,0.05
N5_36,-27.672434,152.324691,31/05/2018,0
N5_37,-27.831727,152.508333,31/05/2018,1
N7_1,-27.647372,152.589588,26/07/2018,1
N7_2,-27.703604,152.551301,26/07/2018,0
N7_3,-27.6635,152.451445,26/07/2018,0
N7_4,-27.383404,152.815,24/07/2018,1
N7_5,-27.377641,152.824682,24/07/2018,1
N7_6,-27.47405,152.861704,24/07/2018,1
N7_7,-27.480283,152.866049,24/07/2018,0.66
N7_8,-27.489481,152.892276,24/07/2018,1
N7_9,-27.503144,152.803348,24/07/2018,0.05
N7_10,-27.38247,152.350899,26/07/2018,1
N7_11,-27.387507,152.348592,26/07/2018,0
N7_12,-27.418635,152.339698,26/07/2018,0
N7_13,-27.478247,152.347313,26/07/2018,0.4
N7_14,-27.513573,152.288239,26/07/2018,0
N7_15,-26.968052,152.428086,25/07/2018,0.05
N7_16,-27.075594,152.42211,25/07/2018,0.8
N7_17,-27.198033,152.749224,24/07/2018,0.27
N7_18,-27.160475,152.774,24/07/2018,1
N7_19,-27.515885,152.826686,24/07/2018,0.85
N7_20,-27.192795,152.797885,24/07/2018,1
N7_21,-27.089518,152.385347,25/07/2018,1
N7_22,-26.972723,152.337488,25/07/2018,0.85
N7_23,-26.979759,152.410813,25/07/2018,0.1
N7_24,-26.965388,152.520377,25/07/2018,0.05
N7_25,-27.110556,151.927904,25/07/2018,0
N7_26,-27.424851,152.488953,26/07/2018,1
N7_27,-27.397687,152.433356,26/07/2018,0.9
N7_28,-27.401805,152.364421,26/07/2018,0
N7_29,-27.34959,152.390571,26/07/2018,1
N7_30,-27.834678,152.376948,26/07/2018,1
N7_31,-27.834589,153.273137,27/07/2018,1
N9_1,-28.073169,153.112829,3/09/2018,1
N9_2,-28.110747,153.036423,3/09/2018,1
N9_3,-28.17099,152.983788,3/09/2018,1
N9_4,-28.175446,152.933743,3/09/2018,1
N9_5,-28.083027,152.832364,3/09/2018,1
N9_6,-28.115443,152.859326,3/09/2018,1
N9_7,-28.116451,152.840727,3/09/2018,0
